text,entities
VALOR IR: R$ 439.42 | DUE 2219587871 | VALOR DO COFINS: R$ 27.43 | VALOR PISS: R$ 11.81 | VALOR IOF: R$ 19.85 | ALIQ IOF: 3.76% | ALIQUOTA IR: 15.05% | DI 939802649 | NAVIO: CAROLINA TRADER | BASE IR: R$ 1937.89,"[(0, 19, 'VALOR_IR'), (90, 109, 'VALOR_IOF'), (67, 87, 'VALOR_PIS'), (39, 64, 'VALOR_COFINS'), (130, 149, 'ALIQUOTA_IR'), (112, 127, 'ALIQUOTA_IOF'), (192, 211, 'BASE_CALCULO_IR')]"
VALOR DA CIDE: R$ 1.68 | DI 826770394 | DUE 5541531449 | VALOR DO COFINS: R$ 2.76 | aliquota ir: 26.53% | BASE IR: R$ 446.69 | ALIQ IOF: 5.36% | VALOR IR: R$ 318.68 | VALOR PISS: R$ 28.79 | VALOR IOF: R$ 43.0,"[(145, 164, 'VALOR_IR'), (190, 208, 'VALOR_IOF'), (167, 187, 'VALOR_PIS'), (57, 81, 'VALOR_COFINS'), (0, 22, 'VALOR_CIDE'), (84, 103, 'ALIQUOTA_IR'), (127, 142, 'ALIQUOTA_IOF'), (106, 124, 'BASE_CALCULO_IR')]"
base ir: R$ 1740.21 | VALOR IR: R$ 63.62 | ALIQ IOF: 5.13% | DI 147953742 | DATA EMBARQUE: 2025-05-09 | VALOR IOF: R$ 14.08 | VALOR PISS: R$ 24.79 | NAVIO: LAVÍNIA TRADER | VALOR DO COFINS: R$ 25.41,"[(22, 40, 'VALOR_IR'), (104, 123, 'VALOR_IOF'), (126, 146, 'VALOR_PIS'), (173, 198, 'VALOR_COFINS'), (43, 58, 'ALIQUOTA_IOF'), (0, 19, 'BASE_CALCULO_IR')]"
DI 251117586 | valor iof: R$ 38.79 | DUE 2879250558 | ALIQUOTA IR: 13.7% | VALOR PISS: R$ 10.03 | VALOR IR: R$ 157.47 | VALOR DA CIDE: R$ 7.55 | VALOR DO COFINS: R$ 27.08 | ALIQ IOF: 1.24% | DATA EMBARQUE: 2025-05-17,"[(98, 117, 'VALOR_IR'), (15, 34, 'VALOR_IOF'), (75, 95, 'VALOR_PIS'), (145, 170, 'VALOR_COFINS'), (120, 142, 'VALOR_CIDE'), (54, 72, 'ALIQUOTA_IR'), (173, 188, 'ALIQUOTA_IOF')]"
DUE 7720666998 | VALOR DO COFINS: R$ 27.67 | VALOR PISS: R$ 18.22 | DATA EMBARQUE: 2025-05-23 | ALIQUOTA IR: 17.51% | DI 742001559 | VALOR IOF: R$ 23.08 | ALIQ IOF: 1.83% | VALOR IR: R$ 237.04 | BASE IR: R$ 1943.99 | NAVIO: CAMILA TRADER,"[(173, 192, 'VALOR_IR'), (133, 152, 'VALOR_IOF'), (45, 65, 'VALOR_PIS'), (17, 42, 'VALOR_COFINS'), (96, 115, 'ALIQUOTA_IR'), (155, 170, 'ALIQUOTA_IOF'), (195, 214, 'BASE_CALCULO_IR')]"
DI 420118837 | VALOR IOF: R$ 14.4 | NAVIO: HELOÍSA TRADER | DUE 1985311698 | ALIQ IOF: 4.0% | VALOR IR: R$ 239.88 | VALOR DO COFINS: R$ 4.87,"[(94, 113, 'VALOR_IR'), (15, 33, 'VALOR_IOF'), (116, 140, 'VALOR_COFINS'), (77, 91, 'ALIQUOTA_IOF')]"
VALOR PISS: R$ 23.26 | DI 149070962 | ALIQUOTA IR: 9.55% | DATA EMBARQUE: 2025-04-12 | VALOR IOF: R$ 46.3 | VALOR IR: R$ 494.22 | DUE 8511009305 | VALOR DO COFINS: R$ 14.89 | ALIQ IOF: 2.7% | NAVIO: ANDRÉ TRADER,"[(108, 127, 'VALOR_IR'), (87, 105, 'VALOR_IOF'), (0, 20, 'VALOR_PIS'), (147, 172, 'VALOR_COFINS'), (38, 56, 'ALIQUOTA_IR'), (175, 189, 'ALIQUOTA_IOF')]"
DATA EMBARQUE: 2025-05-24 | ALIQUOTA IR: 27.26% | DI 754874323 | VALOR IR: R$ 235.63 | VALOR PISS: R$ 2.26 | ALIQ IOF: 4.43% | DUE 8738082144 | base ir: R$ 984.32 | VALOR DA CIDE: R$ 5.66 | NAVIO: LÍVIA TRADER,"[(65, 84, 'VALOR_IR'), (87, 106, 'VALOR_PIS'), (165, 187, 'VALOR_CIDE'), (28, 47, 'ALIQUOTA_IR'), (109, 124, 'ALIQUOTA_IOF'), (144, 162, 'BASE_CALCULO_IR')]"
VALOR IOF: R$ 0.67 | NAVIO: MAITÊ TRADER | VALOR IR: R$ 97.27 | BASE IR: R$ 649.85 | ALIQUOTA IR: 24.3% | VALOR DO COFINS: R$ 29.92 | ALIQ IOF: 3.21% | DATA EMBARQUE: 2025-05-17 | VALOR PISS: R$ 10.89 | DI 751764281 | VALOR DA CIDE: R$ 6.17,"[(43, 61, 'VALOR_IR'), (0, 18, 'VALOR_IOF'), (180, 200, 'VALOR_PIS'), (106, 131, 'VALOR_COFINS'), (218, 240, 'VALOR_CIDE'), (85, 103, 'ALIQUOTA_IR'), (134, 149, 'ALIQUOTA_IOF'), (64, 82, 'BASE_CALCULO_IR')]"
base ir: R$ 1117.34 | VALOR DA CIDE: R$ 7.21 | VALOR IOF: R$ 49.96 | ALIQ IOF: 5.49% | NAVIO: LEONARDO TRADER | VALOR IR: R$ 59.28 | DATA EMBARQUE: 2025-05-04 | VALOR DO COFINS: R$ 30.48 | DUE 3985472663,"[(112, 130, 'VALOR_IR'), (47, 66, 'VALOR_IOF'), (161, 186, 'VALOR_COFINS'), (22, 44, 'VALOR_CIDE'), (69, 84, 'ALIQUOTA_IOF'), (0, 19, 'BASE_CALCULO_IR')]"
