text,entities
ALIQ IOF: 4.73% | NAVIO: VINICIUS TRADER | DI 640452073 | VALOR DO COFINS: R$ 16.22 | VALOR IR: R$ 439.61 | ALIQUOTA IR: 22.11% | VALOR PISS: R$ 19.33 | DUE 2176985915 | BASE IR: R$ 700.95 | VALOR IOF: R$ 14.85,"[(86, 105, 'VALOR_IR'), (191, 210, 'VALOR_IOF'), (130, 150, 'VALOR_PIS'), (58, 83, 'VALOR_COFINS'), (108, 127, 'ALIQUOTA_IR'), (0, 15, 'ALIQUOTA_IOF'), (170, 188, 'BASE_CALCULO_IR')]"
VALOR DO COFINS: R$ 14.34 | DUE 2171141972 | VALOR IR: R$ 427.6 | VALOR PISS: R$ 26.41 | NAVIO: JOÃO VITOR TRADER | DI 482813562 | valor iof: R$ 8.22 | BASE IR: R$ 1569.76 | DATA EMBARQUE: 2025-05-30,"[(45, 63, 'VALOR_IR'), (131, 149, 'VALOR_IOF'), (66, 86, 'VALOR_PIS'), (0, 25, 'VALOR_COFINS'), (152, 171, 'BASE_CALCULO_IR')]"
ALIQ IOF: 0.94% | VALOR IR: R$ 406.93 | DATA EMBARQUE: 2025-04-17 | VALOR DO COFINS: R$ 22.37 | BASE IR: R$ 478.71 | DI 504744913 | NAVIO: MARCOS VINICIUS TRADER | VALOR PISS: R$ 26.99 | DUE 8513785543 | VALOR IOF: R$ 16.18 | VALOR DA CIDE: R$ 3.12,"[(18, 37, 'VALOR_IR'), (204, 223, 'VALOR_IOF'), (164, 184, 'VALOR_PIS'), (68, 93, 'VALOR_COFINS'), (226, 248, 'VALOR_CIDE'), (0, 15, 'ALIQUOTA_IOF'), (96, 114, 'BASE_CALCULO_IR')]"
ALIQUOTA IR: 23.64% | VALOR DO COFINS: R$ 9.09 | DI 823382922 | VALOR IOF: R$ 44.64 | BASE IR: R$ 1387.36 | NAVIO: JOÃO GABRIEL TRADER | DUE 9437746176 | VALOR DA CIDE: R$ 1.99 | ALIQ IOF: 5.5%,"[(64, 83, 'VALOR_IOF'), (22, 46, 'VALOR_COFINS'), (154, 176, 'VALOR_CIDE'), (0, 19, 'ALIQUOTA_IR'), (179, 193, 'ALIQUOTA_IOF'), (86, 105, 'BASE_CALCULO_IR')]"
VALOR IOF: R$ 27.31 | DATA EMBARQUE: 2025-05-28 | ALIQUOTA IR: 18.29% | VALOR DO COFINS: R$ 19.52 | VALOR DA CIDE: R$ 7.44 | VALOR IR: R$ 149.14 | ALIQ IOF: 2.53% | NAVIO: ANA LUIZA TRADER | BASE IR: R$ 1173.28 | DI 491135324 | VALOR PISS: R$ 12.65,"[(125, 144, 'VALOR_IR'), (0, 19, 'VALOR_IOF'), (228, 248, 'VALOR_PIS'), (72, 97, 'VALOR_COFINS'), (100, 122, 'VALOR_CIDE'), (50, 69, 'ALIQUOTA_IR'), (147, 162, 'ALIQUOTA_IOF'), (191, 210, 'BASE_CALCULO_IR')]"
VALOR DA CIDE: R$ 5.77 | BASE IR: R$ 740.46 | ALIQUOTA IR: 15.09% | ALIQ IOF: 1.88% | VALOR IR: R$ 361.39 | VALOR PISS: R$ 7.78 | VALOR DO COFINS: R$ 16.08 | NAVIO: CAROLINE TRADER | VALOR IOF: R$ 49.63,"[(86, 105, 'VALOR_IR'), (183, 202, 'VALOR_IOF'), (108, 127, 'VALOR_PIS'), (130, 155, 'VALOR_COFINS'), (0, 22, 'VALOR_CIDE'), (46, 65, 'ALIQUOTA_IR'), (68, 83, 'ALIQUOTA_IOF'), (25, 43, 'BASE_CALCULO_IR')]"
BASE IR: R$ 485.59 | aliquota ir: 15.49% | ALIQ IOF: 3.47% | VALOR IOF: R$ 2.4 | VALOR IR: R$ 111.54 | NAVIO: ENRICO TRADER | DUE 8261663360 | DI 270866563 | VALOR DO COFINS: R$ 11.19 | DATA EMBARQUE: 2025-04-04 | VALOR DA CIDE: R$ 0.46,"[(81, 100, 'VALOR_IR'), (61, 78, 'VALOR_IOF'), (158, 183, 'VALOR_COFINS'), (214, 236, 'VALOR_CIDE'), (21, 40, 'ALIQUOTA_IR'), (43, 58, 'ALIQUOTA_IOF'), (0, 18, 'BASE_CALCULO_IR')]"
VALOR IR: R$ 37.7 | ALIQ IOF: 5.24% | DUE 9948013570 | DATA EMBARQUE: 2025-05-28 | VALOR DO COFINS: R$ 20.71 | VALOR IOF: R$ 25.3 | VALOR DA CIDE: R$ 3.18 | ALIQUOTA IR: 21.03%,"[(0, 17, 'VALOR_IR'), (111, 129, 'VALOR_IOF'), (83, 108, 'VALOR_COFINS'), (132, 154, 'VALOR_CIDE'), (157, 176, 'ALIQUOTA_IR'), (20, 35, 'ALIQUOTA_IOF')]"
VALOR IR: R$ 141.06 | VALOR IOF: R$ 47.2 | VALOR PISS: R$ 12.6 | VALOR DO COFINS: R$ 26.14 | ALIQUOTA IR: 9.51% | DI 404748154 | NAVIO: JUAN TRADER | DUE 5835459900 | VALOR DA CIDE: R$ 2.01 | ALIQ IOF: 2.91%,"[(0, 19, 'VALOR_IR'), (22, 40, 'VALOR_IOF'), (43, 62, 'VALOR_PIS'), (65, 90, 'VALOR_COFINS'), (167, 189, 'VALOR_CIDE'), (93, 111, 'ALIQUOTA_IR'), (192, 207, 'ALIQUOTA_IOF')]"
DUE 4362523736 | ALIQUOTA IR: 13.99% | VALOR PISS: R$ 5.45 | DI 460269253 | BASE IR: R$ 893.55 | VALOR DA CIDE: R$ 7.08 | VALOR IOF: R$ 29.27 | ALIQ IOF: 4.06% | VALOR IR: R$ 281.17,"[(162, 181, 'VALOR_IR'), (122, 141, 'VALOR_IOF'), (39, 58, 'VALOR_PIS'), (97, 119, 'VALOR_CIDE'), (17, 36, 'ALIQUOTA_IR'), (144, 159, 'ALIQUOTA_IOF'), (76, 94, 'BASE_CALCULO_IR')]"
NAVIO: ANTHONY TRADER | VALOR DO COFINS: R$ 3.19 | VALOR IR: R$ 288.2 | ALIQ IOF: 5.55% | VALOR IOF: R$ 37.46 | VALOR PISS: R$ 8.42 | BASE IR: R$ 871.63 | VALOR DA CIDE: R$ 9.19 | aliquota ir: 15.72%,"[(51, 69, 'VALOR_IR'), (90, 109, 'VALOR_IOF'), (112, 131, 'VALOR_PIS'), (24, 48, 'VALOR_COFINS'), (155, 177, 'VALOR_CIDE'), (180, 199, 'ALIQUOTA_IR'), (72, 87, 'ALIQUOTA_IOF'), (134, 152, 'BASE_CALCULO_IR')]"
NAVIO: JULIA TRADER | VALOR IR: R$ 322.47 | VALOR DA CIDE: R$ 5.23 | VALOR PISS: R$ 10.36 | ALIQ IOF: 4.31% | DI 964453521 | VALOR IOF: R$ 47.86 | DUE 3002250932 | BASE IR: R$ 905.61 | VALOR DO COFINS: R$ 15.25,"[(22, 41, 'VALOR_IR'), (125, 144, 'VALOR_IOF'), (69, 89, 'VALOR_PIS'), (185, 210, 'VALOR_COFINS'), (44, 66, 'VALOR_CIDE'), (92, 107, 'ALIQUOTA_IOF'), (164, 182, 'BASE_CALCULO_IR')]"
DATA EMBARQUE: 2025-04-09 | BASE IR: R$ 1361.3 | DI 791756975 | VALOR IOF: R$ 45.07 | NAVIO: LUIZ FERNANDO TRADER | VALOR IR: R$ 193.64 | DUE 7908432652 | ALIQ IOF: 0.15% | ALIQUOTA IR: 10.01% | VALOR PISS: R$ 21.89,"[(116, 135, 'VALOR_IR'), (64, 83, 'VALOR_IOF'), (195, 215, 'VALOR_PIS'), (173, 192, 'ALIQUOTA_IR'), (155, 170, 'ALIQUOTA_IOF'), (28, 46, 'BASE_CALCULO_IR')]"
aliquota ir: 16.26% | VALOR DO COFINS: R$ 8.15 | ALIQ IOF: 4.58% | VALOR PISS: R$ 24.57 | VALOR IOF: R$ 37.42 | DATA EMBARQUE: 2025-04-09 | DUE 3283787212 | DI 370858829 | VALOR IR: R$ 478.99,"[(172, 191, 'VALOR_IR'), (90, 109, 'VALOR_IOF'), (67, 87, 'VALOR_PIS'), (22, 46, 'VALOR_COFINS'), (0, 19, 'ALIQUOTA_IR'), (49, 64, 'ALIQUOTA_IOF')]"
ALIQUOTA IR: 16.54% | DI 662527073 | VALOR DA CIDE: R$ 0.72 | VALOR PISS: R$ 15.34 | VALOR DO COFINS: R$ 19.34 | DUE 2832592413 | ALIQ IOF: 2.98% | NAVIO: ANA JÚLIA TRADER | VALOR IOF: R$ 39.87 | VALOR IR: R$ 241.9 | DATA EMBARQUE: 2025-05-31 | BASE IR: R$ 1516.85,"[(196, 214, 'VALOR_IR'), (174, 193, 'VALOR_IOF'), (62, 82, 'VALOR_PIS'), (85, 110, 'VALOR_COFINS'), (37, 59, 'VALOR_CIDE'), (0, 19, 'ALIQUOTA_IR'), (130, 145, 'ALIQUOTA_IOF'), (245, 264, 'BASE_CALCULO_IR')]"
ALIQ IOF: 3.19% | VALOR DA CIDE: R$ 0.34 | DI 634372799 | NAVIO: JOÃO TRADER | ALIQUOTA IR: 18.7% | VALOR IR: R$ 393.09 | BASE IR: R$ 1674.47 | VALOR IOF: R$ 35.99 | DUE 1988903036 | VALOR PISS: R$ 17.76,"[(100, 119, 'VALOR_IR'), (144, 163, 'VALOR_IOF'), (183, 203, 'VALOR_PIS'), (18, 40, 'VALOR_CIDE'), (79, 97, 'ALIQUOTA_IR'), (0, 15, 'ALIQUOTA_IOF'), (122, 141, 'BASE_CALCULO_IR')]"
VALOR DA CIDE: R$ 9.1 | VALOR PISS: R$ 13.17 | DATA EMBARQUE: 2025-05-14 | VALOR IR: R$ 58.04 | base ir: R$ 480.01 | DUE 4233503617 | ALIQUOTA IR: 20.73% | VALOR DO COFINS: R$ 18.31 | DI 825804030 | VALOR IOF: R$ 43.84,"[(75, 93, 'VALOR_IR'), (199, 218, 'VALOR_IOF'), (24, 44, 'VALOR_PIS'), (156, 181, 'VALOR_COFINS'), (0, 21, 'VALOR_CIDE'), (134, 153, 'ALIQUOTA_IR'), (96, 114, 'BASE_CALCULO_IR')]"
